"No.","Time","Source","Destination","Protocol","Length","Info"
"20","12:24:35.871813000","10.0.2.6","10.0.2.15","TCP","113","5681  >  44384 [PSH, ACK] Seq=1 Ack=48 Win=22 Len=47 TSval=484876765 TSecr=1379991994"
"21","12:24:36.002743000","10.0.2.15","10.0.2.6","TCP","118","44386  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=52 TSval=1379992126 TSecr=484876896"
"22","12:24:36.004154000","10.0.2.6","10.0.2.15","TCP","118","5681  >  44386 [PSH, ACK] Seq=1 Ack=53 Win=22 Len=52 TSval=484876897 TSecr=1379992126"
"23","12:24:36.137672000","10.0.2.15","10.0.2.6","TCP","123","44388  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=57 TSval=1379992261 TSecr=484877031"
"24","12:24:36.138259000","10.0.2.6","10.0.2.15","TCP","123","5681  >  44388 [PSH, ACK] Seq=1 Ack=58 Win=22 Len=57 TSval=484877032 TSecr=1379992261"
"25","12:24:36.271125000","10.0.2.15","10.0.2.6","TCP","128","44390  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=62 TSval=1379992394 TSecr=484877164"
"26","12:24:36.321564000","10.0.2.6","10.0.2.15","TCP","128","5681  >  44390 [PSH, ACK] Seq=1 Ack=63 Win=22 Len=62 TSval=484877215 TSecr=1379992394"
"27","12:24:36.518992000","10.0.2.15","10.0.2.6","TCP","133","44392  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=67 TSval=1379992642 TSecr=484877412"
"28","12:24:36.519512000","10.0.2.6","10.0.2.15","TCP","133","5681  >  44392 [PSH, ACK] Seq=1 Ack=68 Win=22 Len=67 TSval=484877413 TSecr=1379992642"
"29","12:24:36.664721000","10.0.2.15","10.0.2.6","TCP","138","44394  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=72 TSval=1379992788 TSecr=484877558"
"30","12:24:36.665903000","10.0.2.6","10.0.2.15","TCP","138","5681  >  44394 [PSH, ACK] Seq=1 Ack=73 Win=22 Len=72 TSval=484877559 TSecr=1379992788"
"31","12:24:36.835204000","10.0.2.15","10.0.2.6","TCP","143","44396  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=77 TSval=1379992958 TSecr=484877728"
"32","12:24:36.835682000","10.0.2.6","10.0.2.15","TCP","143","5681  >  44396 [PSH, ACK] Seq=1 Ack=78 Win=22 Len=77 TSval=484877729 TSecr=1379992958"
"33","12:24:36.975719000","10.0.2.15","10.0.2.6","TCP","148","44398  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=82 TSval=1379993099 TSecr=484877868"
"34","12:24:36.980908000","10.0.2.6","10.0.2.15","TCP","148","5681  >  44398 [PSH, ACK] Seq=1 Ack=83 Win=22 Len=82 TSval=484877874 TSecr=1379993099"
"35","12:24:37.083353000","10.0.2.15","10.0.2.6","TCP","153","44400  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=87 TSval=1379993206 TSecr=484877976"
"36","12:24:37.084257000","10.0.2.6","10.0.2.15","TCP","153","5681  >  44400 [PSH, ACK] Seq=1 Ack=88 Win=22 Len=87 TSval=484877977 TSecr=1379993206"
"37","12:24:37.225131000","10.0.2.15","10.0.2.6","TCP","158","44402  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=92 TSval=1379993348 TSecr=484878118"
"38","12:24:37.226939000","10.0.2.6","10.0.2.15","TCP","158","5681  >  44402 [PSH, ACK] Seq=1 Ack=93 Win=22 Len=92 TSval=484878120 TSecr=1379993348"
"39","12:24:37.337462000","10.0.2.15","10.0.2.6","TCP","163","44404  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=97 TSval=1379993460 TSecr=484878230"
"40","12:24:37.337953000","10.0.2.6","10.0.2.15","TCP","163","5681  >  44404 [PSH, ACK] Seq=1 Ack=98 Win=22 Len=97 TSval=484878231 TSecr=1379993460"
"41","12:24:37.437857000","10.0.2.15","10.0.2.6","TCP","168","44406  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=102 TSval=1379993561 TSecr=484878331"
"42","12:24:37.452999000","10.0.2.6","10.0.2.15","TCP","168","5681  >  44406 [PSH, ACK] Seq=1 Ack=103 Win=22 Len=102 TSval=484878345 TSecr=1379993561"
